refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CE05MOAS-GL320-01-PARADM000,,,,,,,,,,,,,,,,81%,100%,74%,,,,,,,,,,,,,,,,,,50%,100%,71%,,,,,,,,70%,58%,
CE05MOAS-GL320-02-FLORTM000,,,,,,,,,,,,,,,,81%,100%,74%,,,,,,,,,,,,,,,,,,50%,100%,71%,,,,,,,,70%,65%,
CE05MOAS-GL320-03-ADCPAM000,,,,,,,,,,,,,,,,81%,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL320-04-DOSTAM000,,,,,,,,,,,,,,,,81%,100%,74%,,,,,,,,,,,,,,,,,,50%,100%,71%,,,,,,,,67%,58%,
CE05MOAS-GL320-05-CTDGVM000,,,,,,,,,,,,,,,,81%,100%,74%,,,,,,,,,,,,,,,,,,50%,100%,71%,,,,,,,,67%,58%,
CE05MOAS-GL326-01-PARADM000,,,,,,,,,,,,,,,,,,,,,,70%,100%,100%,26%,,,55%,30%,,,45%,100%,33%,,,,,,,,,84%,100%,97%,20%,,
CE05MOAS-GL326-02-FLORTM000,,,,,,,,,,,,,,,,,,,,,,70%,100%,100%,26%,,,55%,30%,,,45%,100%,33%,,,,,,,,,84%,100%,100%,23%,,
CE05MOAS-GL326-03-ADCPAM000,,,,,,,,,,,,,,,,,,,,,,37%,10%,,,,,,,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL326-04-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,70%,100%,100%,26%,,,55%,30%,,,45%,100%,33%,,,,,,,,,84%,100%,97%,20%,,
CE05MOAS-GL326-05-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,70%,100%,100%,26%,,,55%,30%,,,45%,100%,33%,,,,,,,,,84%,100%,97%,20%,,
CE05MOAS-GL327-01-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,93%,100%,65%,,55%,100%,39%,,,,,,,,,,,,,,,,,,
CE05MOAS-GL327-02-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,93%,100%,65%,,55%,100%,39%,,,,,,,,,,,,,,,,,,
CE05MOAS-GL327-03-ADCPAM000,,,,,,,,,,,,,,,,,,,,,,,,77%,74%,3%,,55%,100%,45%,,,,,,,,,,,,,,,,,,
